Prefix,Namespace
ad,http://schemas.talis.com/2005/address/schema#
con,http://www.w3.org/2000/10/swap/pim/contact#
dcterms,http://purl.org/dc/terms/
foaf,http://xmlns.com/foaf/0.1/
gadm,http://gadm.geovocab.org/ontology#
geo,http://www.w3.org/2003/01/geo/wgs84_pos#
geom,http://geovocab.org/geometry#
geop,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/
geosparql,http://www.opengis.net/ont/geosparql#
gn,http://www.geonames.org/ontology#
locn,http://www.w3.org/ns/locn#
nco,http://www.semanticdesktop.org/ontologies/nco/#
nie,http://www.semanticdesktop.org/ontologies/nie/#
oparl,http://oparl.org/schema/1.0/
org,http://www.w3.org/ns/org#
person,http://www.w3.org/ns/person#
poder,http://dev.poderopedia.com/vocab/
ptop,http://www.ontotext.com/protontop#
schema,http://schema.org/
skos,http://www.w3.org/2004/02/skos/core#
spatial,http://geovocab.org/spatial#
vcard,http://www.w3.org/2006/vcard/ns#
